method,dataset_name,train_size,test_size,total_size,channels,time_steps,num_classes,loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
residual_gated_fusion_scalar_alpha__raw_stats_STFT,ECG5000,500,4500,5000,1,140,5,0.27063910752224424,0.9428888888888889,0.5492289907650487,0.7531916089821953,0.5492289907650487,0.5909003564617005,0.9338763936167022,0.9428888888888889,0.9340479272358554
residual_gated_fusion_scalar_alpha__raw_stats_GAF_STFT,ECG5000,500,4500,5000,1,140,5,0.2776576128090835,0.9433333333333334,0.5284329129768135,0.8353148745756316,0.5284329129768135,0.5834774700595587,0.9385319756243965,0.9433333333333334,0.9330042749078754
film_fusion__raw_STFT,ECG5000,500,4500,5000,1,140,5,0.30530880921199505,0.9377777777777778,0.582671739529813,0.6883634380936781,0.582671739529813,0.6128157758568392,0.9308621068761381,0.9377777777777778,0.9333654678112466
film_fusion__raw_GAF,ECG5000,500,4500,5000,1,140,5,0.33913433852750396,0.9362222222222222,0.569388058587967,0.6719104952711195,0.569388058587967,0.6040820996344223,0.927107220372256,0.9362222222222222,0.93047304745291
film_fusion__raw_stats_STFT,ECG5000,500,4500,5000,1,140,5,0.3120473528465049,0.9308888888888889,0.5601969133234761,0.6864959288214824,0.5601969133234761,0.5814565977073439,0.9272385830652664,0.9308888888888889,0.9276290700342328
film_fusion__raw_stats_GAF_STFT,ECG5000,500,4500,5000,1,140,5,0.30691601962363346,0.9391111111111111,0.5561285539459806,0.7833716005483504,0.5561285539459806,0.6082463999474326,0.9310516491081311,0.9391111111111111,0.9317555905000087
gated_fusion__raw_STFT,MedicalImages,381,760,1141,1,99,10,0.9613357333760513,0.7289473684210527,0.7033395944548076,0.6632021262022806,0.7033395944548076,0.6736889025972925,0.7502259639147335,0.7289473684210527,0.7331112180149069
gated_fusion__raw_GAF,MedicalImages,381,760,1141,1,99,10,0.8452240580006649,0.7578947368421053,0.8015151122585122,0.7489800035665592,0.8015151122585122,0.7613196061571758,0.7876950693991992,0.7578947368421053,0.7626597444445918
gated_fusion__raw_stats_STFT,MedicalImages,381,760,1141,1,99,10,0.9455620335905175,0.781578947368421,0.7786799495925703,0.7809882623742981,0.7786799495925703,0.7645896875637408,0.7916976065543413,0.781578947368421,0.777870857135067
gated_fusion__raw_stats_GAF_STFT,MedicalImages,381,760,1141,1,99,10,1.0925348397932555,0.7513157894736842,0.752008547664465,0.7109513509329715,0.752008547664465,0.7173220010087029,0.7675931381028215,0.7513157894736842,0.751705713598333
residual_gated_fusion_vector_alpha__raw_STFT,MedicalImages,381,760,1141,1,99,10,0.8510886493482088,0.7289473684210527,0.661568251551545,0.7428752004922801,0.661568251551545,0.6817526128367178,0.7442249074870861,0.7289473684210527,0.7255483558319047
residual_gated_fusion_vector_alpha__raw_GAF,MedicalImages,381,760,1141,1,99,10,0.6397550807971704,0.7776315789473685,0.7954361480641386,0.7691471349552794,0.7954361480641386,0.7689984662398774,0.8007680319736161,0.7776315789473685,0.7812399268190982
residual_gated_fusion_vector_alpha__raw_stats_STFT,MedicalImages,381,760,1141,1,99,10,0.8760945053477036,0.7907894736842105,0.7440736028356687,0.7771076204711168,0.7440736028356687,0.7428028741390086,0.7975428198895755,0.7907894736842105,0.7860739004727284
residual_gated_fusion_vector_alpha__raw_stats_GAF_STFT,MedicalImages,381,760,1141,1,99,10,0.8372269225747961,0.7934210526315789,0.7489254736362648,0.7890931879851482,0.7489254736362648,0.7612919951824925,0.7932416257794805,0.7934210526315789,0.7890556961926759
residual_gated_fusion_scalar_alpha__raw_STFT,MedicalImages,381,760,1141,1,99,10,0.7742171588696931,0.7552631578947369,0.695608730489093,0.7726017565166068,0.695608730489093,0.7188317814720158,0.7660590628744718,0.7552631578947369,0.7540857164302566
residual_gated_fusion_scalar_alpha__raw_GAF,MedicalImages,381,760,1141,1,99,10,0.7149990251189784,0.7776315789473685,0.7980395256470559,0.7297755525172465,0.7980395256470559,0.7534380937344017,0.7887667964234514,0.7776315789473685,0.777164911602363
residual_gated_fusion_scalar_alpha__raw_stats_STFT,MedicalImages,381,760,1141,1,99,10,0.8296871110012657,0.75,0.7403442201309951,0.7604699381361432,0.7403442201309951,0.7403254754754931,0.7817948698798677,0.75,0.7590520258820376
residual_gated_fusion_scalar_alpha__raw_stats_GAF_STFT,MedicalImages,381,760,1141,1,99,10,0.9495328084418648,0.781578947368421,0.7483560649216123,0.7389661366120898,0.7483560649216123,0.7363345033372537,0.7850363567681514,0.781578947368421,0.7787218758536082
film_fusion__raw_STFT,MedicalImages,381,760,1141,1,99,10,0.7443130237491508,0.7618421052631579,0.7996448488592598,0.7439235726156758,0.7996448488592598,0.7431264171614463,0.8102326505696406,0.7618421052631579,0.7632612813937832
film_fusion__raw_GAF,MedicalImages,381,760,1141,1,99,10,0.7035747499842393,0.7855263157894737,0.7554398696322423,0.7737944680183144,0.7554398696322423,0.7495807602797246,0.7893129813318597,0.7855263157894737,0.7801283609938738
film_fusion__raw_stats_STFT,MedicalImages,381,760,1141,1,99,10,0.8460138725607018,0.7776315789473685,0.713400803040839,0.7883825262294774,0.713400803040839,0.7352245095953014,0.7797341712520581,0.7776315789473685,0.7721444364036919
film_fusion__raw_stats_GAF_STFT,MedicalImages,381,760,1141,1,99,10,0.9095731073304226,0.7671052631578947,0.7044154720624277,0.744455660125129,0.7044154720624277,0.7172822792206086,0.7625615329588763,0.7671052631578947,0.7607766098287253
gated_fusion__raw_STFT,FacesUCR,200,2050,2250,1,131,14,0.2652759404784841,0.9336585365853659,0.9025777705798264,0.9288206290826305,0.9025777705798264,0.9110003925512403,0.9365770081503901,0.9336585365853659,0.9329337854606122
gated_fusion__raw_GAF,FacesUCR,200,2050,2250,1,131,14,0.3421746603858362,0.9146341463414634,0.881460041738699,0.9021000061761019,0.881460041738699,0.8870866781049822,0.9153396236079553,0.9146341463414634,0.9131163455798755
gated_fusion__raw_stats_STFT,FacesUCR,200,2050,2250,1,131,14,0.46945049803431443,0.8926829268292683,0.8707003449236398,0.8769611473660822,0.8707003449236398,0.8712240498406285,0.8985312272329393,0.8926829268292683,0.8929785783557771
gated_fusion__raw_stats_GAF_STFT,FacesUCR,200,2050,2250,1,131,14,0.5777403175249333,0.8804878048780488,0.8548671516987608,0.8726920636286805,0.8548671516987608,0.8606880637827709,0.8856086831039385,0.8804878048780488,0.8807920719744406
residual_gated_fusion_vector_alpha__raw_STFT,FacesUCR,200,2050,2250,1,131,14,0.38867712647813124,0.906829268292683,0.8633950609594991,0.8860218014181978,0.8633950609594991,0.8684408635968432,0.9091373409484962,0.906829268292683,0.9051863872087302
residual_gated_fusion_vector_alpha__raw_GAF,FacesUCR,200,2050,2250,1,131,14,0.39132060201043584,0.9039024390243903,0.8742962141637985,0.883098503682654,0.8742962141637985,0.8757092667413504,0.9073820672115144,0.9039024390243903,0.90365880123893
residual_gated_fusion_vector_alpha__raw_stats_STFT,FacesUCR,200,2050,2250,1,131,14,0.7034911330734811,0.8448780487804878,0.8088561843187352,0.8661723908834948,0.8088561843187352,0.8227785540341133,0.8576251203384182,0.8448780487804878,0.8434684615173776
residual_gated_fusion_vector_alpha__raw_stats_GAF_STFT,FacesUCR,200,2050,2250,1,131,14,0.6170256262808674,0.8497560975609756,0.8449950268706131,0.8478774890802471,0.8449950268706131,0.8386773968247574,0.8676618214507932,0.8497560975609756,0.8503494277572092
residual_gated_fusion_scalar_alpha__raw_STFT,FacesUCR,200,2050,2250,1,131,14,0.3212423218765137,0.9248780487804878,0.8873245506000719,0.9133734752615379,0.8873245506000719,0.8921047458481991,0.9267953213850363,0.9248780487804878,0.922974706892893
residual_gated_fusion_scalar_alpha__raw_GAF,FacesUCR,200,2050,2250,1,131,14,0.412976893741274,0.8985365853658537,0.8608610066069587,0.8931442361370676,0.8608610066069587,0.8660746390035615,0.9070605583560135,0.8985365853658537,0.8971067760946506
residual_gated_fusion_scalar_alpha__raw_stats_STFT,FacesUCR,200,2050,2250,1,131,14,0.6070070928226157,0.8707317073170732,0.846682209291704,0.8675397597914095,0.846682209291704,0.8519630615055273,0.879079993977876,0.8707317073170732,0.8711038223740624
