dataset_name,method,fusion,modality_combo,coefficient,target,value,std
MedicalImages,film_fusion__raw_stats_GAF_STFT,film_fusion,raw_stats_GAF_STFT,beta_abs_mean,raw_shift,0.38222968578338623,0.13896743953227997
FacesUCR,gated_fusion__raw_STFT,gated_fusion,raw_STFT,gate,raw,0.5548504590988159,0.20713379979133606
FacesUCR,gated_fusion__raw_STFT,gated_fusion,raw_STFT,gate,stft,0.4451495110988617,0.20713379979133606
FacesUCR,gated_fusion__raw_GAF,gated_fusion,raw_GAF,gate,raw,0.7199782133102417,0.13814975321292877
FacesUCR,gated_fusion__raw_GAF,gated_fusion,raw_GAF,gate,gaf,0.2800218164920807,0.13814975321292877
FacesUCR,gated_fusion__raw_stats_STFT,gated_fusion,raw_stats_STFT,gate,raw,0.39508765935897827,0.21820709109306335
FacesUCR,gated_fusion__raw_stats_STFT,gated_fusion,raw_stats_STFT,gate,stats,0.3375774025917053,0.1353338658809662
FacesUCR,gated_fusion__raw_stats_STFT,gated_fusion,raw_stats_STFT,gate,stft,0.2673349678516388,0.22942396998405457
FacesUCR,gated_fusion__raw_stats_GAF_STFT,gated_fusion,raw_stats_GAF_STFT,gate,raw,0.2868193984031677,0.1849851906299591
FacesUCR,gated_fusion__raw_stats_GAF_STFT,gated_fusion,raw_stats_GAF_STFT,gate,stats,0.3479437828063965,0.18063536286354065
FacesUCR,gated_fusion__raw_stats_GAF_STFT,gated_fusion,raw_stats_GAF_STFT,gate,gaf,0.11682457476854324,0.1658690869808197
FacesUCR,gated_fusion__raw_stats_GAF_STFT,gated_fusion,raw_stats_GAF_STFT,gate,stft,0.24841225147247314,0.2361331731081009
FacesUCR,residual_gated_fusion_vector_alpha__raw_STFT,residual_gated_fusion_vector_alpha,raw_STFT,alpha_abs_mean,residual_delta,0.41023027896881104,0.25027552247047424
FacesUCR,residual_gated_fusion_vector_alpha__raw_GAF,residual_gated_fusion_vector_alpha,raw_GAF,alpha_abs_mean,residual_delta,0.42146241664886475,0.20102842152118683
FacesUCR,residual_gated_fusion_vector_alpha__raw_stats_STFT,residual_gated_fusion_vector_alpha,raw_stats_STFT,alpha_abs_mean,residual_delta,0.46821972727775574,0.3032210171222687
