family,dataset,modalities,feature_combination,median_macro_f1,is_best_for_dataset
raw_centered_residual,NonInvasiveFetalECGThorax1,raw+stats+gaf,raw+stats+GAF,0.8875519977209918,False
raw_centered_residual,NonInvasiveFetalECGThorax1,raw+stats+gaf+stft,raw+stats+GAF+STFT,0.8953578639395924,True
raw_centered_residual,NonInvasiveFetalECGThorax1,raw+stats+stft,raw+stats+STFT,0.895263631443767,False
raw_centered_residual,NonInvasiveFetalECGThorax1,raw+stft,raw+STFT,0.755283865147334,False
raw_centered_residual,StarLightCurves,raw+gaf,raw+GAF,0.9555693531841222,False
raw_centered_residual,StarLightCurves,raw+gaf+stft,raw+GAF+STFT,0.9624181375648496,False
raw_centered_residual,StarLightCurves,raw+stats,raw+stats,0.9629077876889416,False
raw_centered_residual,StarLightCurves,raw+stats+gaf,raw+stats+GAF,0.9607670304165088,False
raw_centered_residual,StarLightCurves,raw+stats+gaf+stft,raw+stats+GAF+STFT,0.9624972335637344,False
raw_centered_residual,StarLightCurves,raw+stats+stft,raw+stats+STFT,0.9598073233120438,False
raw_centered_residual,StarLightCurves,raw+stft,raw+STFT,0.9654262679520784,True
raw_centered_residual,UWaveGestureLibraryAll,raw+gaf,raw+GAF,0.787925821644444,False
raw_centered_residual,UWaveGestureLibraryAll,raw+gaf+stft,raw+GAF+STFT,0.8132940456771557,False
raw_centered_residual,UWaveGestureLibraryAll,raw+stats,raw+stats,0.9496164177530384,False
raw_centered_residual,UWaveGestureLibraryAll,raw+stats+gaf,raw+stats+GAF,0.9539196025154612,True
raw_centered_residual,UWaveGestureLibraryAll,raw+stats+gaf+stft,raw+stats+GAF+STFT,0.95140547179077,False
raw_centered_residual,UWaveGestureLibraryAll,raw+stats+stft,raw+stats+STFT,0.951514510546634,False
raw_centered_residual,UWaveGestureLibraryAll,raw+stft,raw+STFT,0.8051245082346175,False
film,Crop,raw+gaf,raw+GAF,0.7129110797553517,False
film,Crop,raw+gaf+stft,raw+GAF+STFT,0.7138169105449249,False
film,Crop,raw+stats,raw+stats,0.702545453023338,False
film,Crop,raw+stats+gaf,raw+stats+GAF,0.7168185733352045,True
film,Crop,raw+stats+gaf+stft,raw+stats+GAF+STFT,0.707117487038501,False
film,Crop,raw+stats+stft,raw+stats+STFT,0.713151796073625,False
film,Crop,raw+stft,raw+STFT,0.7082635111181631,False
film,ElectricDevices,raw+gaf,raw+GAF,0.6653835805124867,False
film,ElectricDevices,raw+gaf+stft,raw+GAF+STFT,0.695071663701205,True
film,ElectricDevices,raw+stats,raw+stats,0.6714173616085128,False
film,ElectricDevices,raw+stats+gaf,raw+stats+GAF,0.6742523014464302,False
film,ElectricDevices,raw+stats+gaf+stft,raw+stats+GAF+STFT,0.6710336560257987,False
film,ElectricDevices,raw+stats+stft,raw+stats+STFT,0.6692717546152548,False
film,ElectricDevices,raw+stft,raw+STFT,0.6793875079250057,False
film,FordA,raw+gaf,raw+GAF,0.9340772508537408,False
film,FordA,raw+gaf+stft,raw+GAF+STFT,0.943910422049957,False
film,FordA,raw+stats,raw+stats,0.9211940298507464,False
film,FordA,raw+stats+gaf,raw+stats+GAF,0.9300950486295314,False
film,FordA,raw+stats+gaf+stft,raw+stats+GAF+STFT,0.9469422911283376,True
film,FordA,raw+stats+stft,raw+stats+STFT,0.9348101731044874,False
film,FordA,raw+stft,raw+STFT,0.9416457349542852,False
film,NonInvasiveFetalECGThorax1,raw+gaf,raw+GAF,0.7750519492427314,False
film,NonInvasiveFetalECGThorax1,raw+gaf+stft,raw+GAF+STFT,0.8397500364407045,False
film,NonInvasiveFetalECGThorax1,raw+stats,raw+stats,0.875806144939037,False
film,NonInvasiveFetalECGThorax1,raw+stats+gaf,raw+stats+GAF,0.9016453316754068,True
film,NonInvasiveFetalECGThorax1,raw+stats+gaf+stft,raw+stats+GAF+STFT,0.8879421308335322,False
film,NonInvasiveFetalECGThorax1,raw+stats+stft,raw+stats+STFT,0.8571442690378545,False
film,NonInvasiveFetalECGThorax1,raw+stft,raw+STFT,0.8154797618789639,False
film,StarLightCurves,raw+gaf,raw+GAF,0.9557749364660156,False
film,StarLightCurves,raw+gaf+stft,raw+GAF+STFT,0.9554679876471064,False
film,StarLightCurves,raw+stats,raw+stats,0.960645497675713,False
film,StarLightCurves,raw+stats+gaf,raw+stats+GAF,0.9643352590147508,False
film,StarLightCurves,raw+stats+gaf+stft,raw+stats+GAF+STFT,0.9669229451469704,True
film,StarLightCurves,raw+stats+stft,raw+stats+STFT,0.9523384075921634,False
film,StarLightCurves,raw+stft,raw+STFT,0.9659526680168266,False
film,UWaveGestureLibraryAll,raw+gaf,raw+GAF,0.7885363419690065,False
film,UWaveGestureLibraryAll,raw+gaf+stft,raw+GAF+STFT,0.816692267466409,False
film,UWaveGestureLibraryAll,raw+stats,raw+stats,0.9513077884077774,False
film,UWaveGestureLibraryAll,raw+stats+gaf,raw+stats+GAF,0.9478488051258196,False
film,UWaveGestureLibraryAll,raw+stats+gaf+stft,raw+stats+GAF+STFT,0.9475750318604756,False
film,UWaveGestureLibraryAll,raw+stats+stft,raw+stats+STFT,0.9521617451834724,True
film,UWaveGestureLibraryAll,raw+stft,raw+STFT,0.8433662592641704,False
